Genesis 1:1	In the beginning, God created heaven and earth.
Genesis 21:22	At the same time, Abimelech and Phicol, the leader of his army, said to Abraham: “God is with you in everything that you do.
Genesis 21:23	Therefore, swear by God that you will do no harm to me, and to my posterity, and to my stock. But according to the mercy that I have done to you, you will do to me and to the land, to which you have turned as a newcomer.”
Genesis 21:24	And Abraham said, “I will swear.”
Genesis 21:25	And he reproved Abimelech because of a well of water, which his servants had taken away by force.
Genesis 21:26	And Abimelech responded, “I do not know who did this thing, but you also did not reveal it to me, nor have I heard of it, before today.”
Genesis 21:27	And so Abraham took sheep and oxen, and he gave them to Abimelech. And both of them struck a pact.
Genesis 21:28	And Abraham set aside seven female lambs from the flock.
Genesis 21:29	Abimelech said to him, “What purpose have these seven female lambs, which you have caused to stand separately?”
Genesis 21:30	But he said, “You will receive seven female lambs from my hand, so that they may be a testimony for me, that I dug this well.”
Genesis 21:31	For this reason, that place was called Beersheba, because there both of them did swear.
Genesis 21:32	And they initiated a pact on behalf of the well of oath.
Genesis 21:33	Then Abimelech and Phicol, the leader of his army, rose up, and they returned to the land of the Palestinians. In truth, Abraham planted a grove in Beersheba, and there he called upon the name of the Lord God Eternal.
Genesis 21:34	And he was a settler in the land of the Palestinians for many days.
Genesis 22:1	After these things occurred, God tested Abraham, and he said to him, “Abraham, Abraham.” And he answered, “Here I am.”
Genesis 22:2	He said to him: “Take your only begotten son Isaac, whom you love, and go into the land of vision. And there you shall offer him as a holocaust upon one of the mountains, which I will show to you.”
Genesis 22:3	And so Abraham, getting up in the night, harnessed his donkey, taking with him two youths, and his son Isaac. And when he had cut wood for the holocaust, he traveled toward the place, as God had instructed him.
Genesis 22:4	Then, on the third day, lifting up his eyes, he saw the place at a distance.
Genesis 22:5	And he said to his servants: “Wait here with the donkey. I and the boy will hurry further ahead to that place. After we have worshipped, will return to you.”
Genesis 22:6	He also took the wood for the holocaust, and he imposed it upon his son Isaac. And he himself carried in his hands fire and a sword. And as the two continued on together,
Genesis 22:7	Isaac said to his father, “My father.” And he answered, “What do you want, son?” “Behold,” he said, “fire and wood. Where is the victim for the holocaust?”
Genesis 22:8	But Abraham said, “God himself will provide the victim for the holocaust, my son.” Thus they continued on together.
Genesis 22:9	And they came to the place that God had shown to him. There he built an altar, and he set the wood in order upon it. And when he had bound his son Isaac, he laid him on the altar upon the pile of wood.
Genesis 22:10	And he reached out his hand and took hold of the sword, in order to sacrifice his son.
Genesis 22:11	And behold, an Angel of the Lord called out from heaven, saying, “Abraham, Abraham.” And he answered, “Here I am.”
Genesis 22:12	And he said to him, “Do not extend your hand over the boy, and do not do anything to him. Now I know that you fear God, since you have not spared your only begotten son for my sake.”
Genesis 22:13	Abraham lifted up his eyes, and he saw behind his back a ram among the thorns, caught by the horns, which he took and offered as a holocaust, instead of his son.
Genesis 22:14	And he called the name of that place: ‘The Lord Sees.’ Thus, even to this day, it is said: ‘On the mountain, the Lord will see.’
Genesis 22:15	Then the Angel of the Lord called out to Abraham a second time from heaven, saying:
Genesis 22:16	“By my own self, I have sworn, says the Lord. Because you have done this thing, and have not spared your only begotten son for my sake,
Genesis 22:17	I will bless you, and I will multiply your offspring like the stars of heaven, and like the sand which is on the seashore. Your offspring will possess the gates of their enemies.
Genesis 22:18	And in your offspring, all the nations of the earth will be blessed, because you obeyed my voice.”
Genesis 22:19	Abraham returned to his servants, and they went to Beersheba together, and he lived there.
Genesis 22:20	After these things occurred, it was reported to Abraham that Milcah, likewise, had borne sons for his brother Nahor:
Genesis 22:21	Uz, the firstborn, and Buz, his brother, and Kemuel, the father of the Syrians,
Genesis 22:22	and Chesed, and Hazo, likewise Pildash, and Jidlaph,
Genesis 22:23	as well as Bethuel, of whom was born Rebekah. These eight Milcah bore for Nahor, the brother of Abraham.
Genesis 22:24	In truth, his concubine, named Reumah, bore Tebah, and Gaham, and Tahash, and Maacah.
Genesis 23:1	Now Sarah lived for one hundred and twenty-seven years.
Genesis 23:2	And she died in the city of Arba, which is Hebron, in the land of Canaan. And Abraham came to mourn and weep for her.
Genesis 23:3	And when he had risen up from the funeral duties, he spoke to the sons of Heth, saying:
Genesis 23:4	“I am a newcomer and a sojourner among you. Give me the right of a sepulcher among you, so that I may bury my dead.”
Genesis 23:5	The sons of Heth responded by saying:
Genesis 23:6	“Hear us, O lord, you are a leader of God among us. Bury your dead in our chosen sepulchers. And no man shall be able to prohibit you from burying your dead within his memorial.”
Genesis 23:7	Abraham arose, and he reverenced the people of the land, namely, the sons of Heth.
Genesis 23:8	And he said to them: “If it pleases your soul that I should bury my dead, hear me, and intercede on my behalf with Ephron, the son of Zohar,
Genesis 23:9	so that he may give me the double cave, which he has at the far end of his field. He may transfer it to me for as much money as it is worth in your sight, for the possession of a sepulcher.”
Genesis 23:10	Now Ephron dwelt in the midst of the sons of Heth. And Ephron responded to Abraham in the hearing of everyone who was entering at the gate of his city, saying:
Genesis 23:11	“Let it never be so, my lord, but you should pay greater heed to what I say. The field I will transfer to you, and the cave that is in it. In the presence of the sons of my people, bury your dead.”
Genesis 23:12	Abraham reverenced in the sight of the people of the land.
Genesis 23:13	And he spoke to Ephron, standing in the midst of the people: “I ask you to hear me. I will give you money for the field. Take it, and so I will bury my dead in it.”
Genesis 23:14	And Ephron responded: “My lord, hear me.
Genesis 23:15	The land that you request is worth four hundred shekels of silver. This is the price between me and you. But how much is this? Bury your dead.”
Genesis 23:16	And when Abraham had heard this, he weighed out the money that Ephron had requested, in the hearing of the sons of Heth, four hundred shekels of silver, of the approved public currency.
Genesis 23:17	And having confirmed that the field, in which there was a double cave overlooking Mamre, formerly belonged to Ephron, both it and the sepulcher, and all its trees, with all its surrounding limits,
Genesis 23:18	Abraham took it as a possession, in the sight of the sons of Heth and of everyone who was entering at the gate of his city.
Genesis 23:19	So then, Abraham buried his wife Sarah in the double cave of the field that overlooked Mamre. This is Hebron in the land of Canaan.
Genesis 23:20	And the field was confirmed to Abraham, with the cave that was in it, as a memorial possession before the sons of Heth.
Genesis 24:1	Now Abraham was old and of many days. And the Lord had blessed him in all things.
Genesis 24:2	And he said to the elder servant of his house, who was in charge of all that he had: “Place your hand under my thigh,
Genesis 24:3	so that I may make you swear by the Lord, the God of heaven and earth, that you will not take a wife for my son from the daughters of the Canaanites, among whom I live.
Genesis 24:4	But that you will proceed to my land and kindred, and from there take a wife for my son Isaac.”
Genesis 24:5	The servant responded, “If the woman is not willing to come with me into this land, must I lead your son back to the place from which you departed?”
Genesis 24:6	And Abraham said: “Beware that you never lead my son back to that place.
Genesis 24:7	The Lord God of heaven, who took me from my father’s house, and from the land of my nativity, who spoke to me and swore to me, saying, ‘To your offspring I will give this land,’ himself will send his Angel before you, and you will take from there a wife for my son.
Genesis 24:8	But if the woman is not willing to follow you, you will not be held by the oath. Only do not lead my son back to that place.”
Genesis 24:9	Therefore, the servant placed his hand under the thigh of Abraham, his lord, and he swore to him on his word.
Genesis 24:10	And he took ten camels from his lord’s herd, and he went forth, carrying with him things from all of his goods. And he set out, and continued on, to the city of Nahor, in Mesopotamia.
Genesis 24:11	And when he had made the camels lie down outside of the town, near a well of water, in the evening, at the time when women are accustomed to go out to draw water, he said:
Genesis 24:12	“O Lord, the God of my lord Abraham, meet with me today, I beg you, and show mercy to my lord Abraham.
Genesis 24:13	Behold, I stand near the fountain of water, and the daughters of the inhabitants of this city will go forth to draw water.
Genesis 24:14	Therefore, the girl to whom I will say, ‘Tip your pitcher, so that I may drink,’ and she will respond, ‘Drink. In fact, I will give your camels a drink also,’ the same one is she whom you have prepared for your servant Isaac. And by this, I will understand that you have shown mercy to my lord.”
Genesis 24:15	But he had not yet completed these words within himself, when, behold, Rebekah went out, the daughter of Bethuel, son of Milcah, the wife of Nahor, the brother of Abraham, having a pitcher on her shoulder.
Genesis 24:16	She was an exceedingly elegant girl, and a most beautiful virgin, and unknown by man. And she descended to the spring, and she filled her pitcher, and then was returning.
Genesis 24:17	And the servant ran to meet her, and he said, “Provide me with a little water to drink from your pitcher.”
Genesis 24:18	And she responded, “Drink, my lord.” And she quickly brought down the pitcher on her arm, and she gave him a drink.
Genesis 24:19	And after he drank, she added, “In fact, I will draw water for your camels also, until they all drink.”
Genesis 24:20	And pouring out the pitcher into the troughs, she ran back to the well to draw water; and having drawn, she gave it to all the camels.
Genesis 24:21	But he was contemplating her silently, wanting to know whether the Lord had caused his journey to prosper or not
Genesis 24:22	Then, after the camels drank, the man took out gold earrings, weighing two shekels, and the same number of bracelets, ten shekels in weight.
Genesis 24:23	And he said to her: “Whose daughter are you? Tell me, is there any place in your father’s house to lodge?”
Genesis 24:24	She responded, “I am the daughter of Bethuel, the son of Milcah, to whom she gave birth for Nahor.”
Genesis 24:25	And she continued, saying, “There is very much straw and hay with us, and a spacious place to stay.”
Genesis 24:26	The man bowed himself down, and he adored the Lord,
Genesis 24:27	saying, “Blessed be the Lord, the God of my lord Abraham, who has not taken away his mercy and truth from my lord, and who has led me on a direct journey to the house of the brother of my lord.”
Genesis 24:28	And so the girl ran, and she reported all that she had heard in the house of her mother.
Genesis 24:29	Now Rebekah had a brother, named Laban, who went out quickly to the man, where the spring was.
Genesis 24:30	And when he had seen the earrings and bracelets in his sister’s hands, and he had heard all the words being repeated, “This is what the man spoke to me,” he came to the man who stood by the camels and near the spring of water,
Genesis 24:31	and he said to him: “Enter, O blessed of the Lord. Why do you stand outside? I have prepared the house, and a place for the camels.”
Genesis 24:32	And he brought him into his guest quarters. And he unharnessed the camels, and he distributed straw and hay, and water to wash his feet and that of the men who arrived with him.
Genesis 24:33	And bread was set out in his sight. But he said, “I will not eat, until I have spoken my words.” He answered him, “Speak.”
Genesis 24:34	Then he said: “I am the servant of Abraham.
Genesis 24:35	And the Lord has blessed my lord greatly, and he has become great. And he has given him sheep and oxen, silver and gold, men servants and women servants, camels and donkeys.
Genesis 24:36	And Sarah, the wife of my lord, has given birth to a son for my lord in her old age, and he has given him all that he had.
Genesis 24:37	And my lord made me swear, saying: ‘You shall not take a wife for my son from the Canaanites, in whose land I dwell.
Genesis 24:38	But you shall travel to my father’s house, and you shall take a wife of my own kindred for my son.’
Genesis 24:39	But truly, I answered my lord, ‘What if the woman is not willing to come with me?’
Genesis 24:40	‘The Lord,’ he said, ‘in whose sight I walk, will send his Angel with you, and he will direct your way. And you shall take a wife for my son from my own kindred and from my father’s house.
Genesis 24:41	But you will be innocent of my curse, if, when you will arrive at my close relatives, they will not grant this to you.’
Genesis 24:42	And so, today I arrived at the well of water, and I said: ‘O Lord, the God of my lord Abraham, if you have directed my way, in which I now walk,
Genesis 24:43	behold, I stand next to the well of water, and the virgin, who will go forth to draw water, will hear from me, “Give me a little water to drink from your pitcher.”
Genesis 24:44	And she will say to me, “You drink, and I will also draw for your camels.” Let the same be the woman, whom the Lord has prepared for the son of my lord.’
Genesis 24:45	And while I thought over these things silently within myself, Rebekah appeared, arriving with a pitcher, which she carried on her shoulder. And she descended to the spring and drew water. And I said to her, ‘Give me a little to drink.’
Genesis 24:46	And she quickly let down the pitcher from her arm, and said to me, ‘You drink, and to your camels I will also distribute drinking water.’ I drank, and she watered the camels.
Genesis 24:47	And I questioned her, saying, ‘Whose daughter are you?’ And she responded, ‘I am the daughter of Bethuel, the son of Nahor, whom Milcah bore to him.’ And so, I hung the earrings on her, to adorn her face, and I put the bracelets on her hands.
Genesis 24:48	And falling prostrate, I adored the Lord, blessing the Lord, the God of my lord Abraham, who has led me along the straight path so as to take the daughter of my lord’s brother to his son.
Genesis 24:49	For this reason, if you would act according to mercy and truth with my lord, tell me so. But if it pleases you otherwise, say that to me also, so that I may go either to the right, or to the left.”
Genesis 24:50	And Laban and Bethuel responded: “A word has proceeded from the Lord. We are not able to speak anything else to you, beyond what pleases him.
Genesis 24:51	Lo, Rebekah is in your sight. Take her and continue on, and let her be the wife of the son of your lord, just as the Lord has spoken.”
Genesis 24:52	When Abraham’s servant had heard this, falling down to the ground, he adored the Lord.
Genesis 24:53	And bringing forth vessels of silver and gold, as well as garments, he gave them to Rebekah as a tribute. Likewise, he offered gifts to her brothers and her mother.
Genesis 24:54	And a banquet began, and they feasted and drank together, and they lodged there. And rising up in the morning, the servant said, “Release me, so that I may go to my lord.”
Genesis 24:55	And her brothers and mother responded, “Let the girl remain for at least ten days with us, and after that, she will continue on.”
Genesis 24:56	“Do not be willing,” he said, “to delay me, for the Lord has directed my way. Release me, so that I may journey to my lord.”
Genesis 24:57	And they said, “Let us call the girl, and ask her will.”
Genesis 24:58	And when, having been called, she arrived, they wanted to know, “Will you go with this man?” And she said, “I will go.”
Genesis 24:59	Therefore, they released her and her nurse, and the servant of Abraham and his companions,
Genesis 24:60	wishing prosperity for their sister, by saying: “You are our sister. May you increase to thousands of thousands. And may your offspring possess the gates of their enemies.”
Genesis 24:61	And so, Rebekah and her maids, riding upon camels, followed the man, who quickly returned to his lord.
Genesis 24:62	Then, at the same time, Isaac was walking along the way that leads to the well, whose name is: ‘of the One who lives and who sees.’ For he dwelt in the southern land.
Genesis 24:63	And he had gone out to meditate in the field, as daylight was now declining. And when he had lifted up his eyes, he saw camels advancing from afar.
Genesis 24:64	Likewise, Rebekah, having seen Isaac, descended from the camel.
Genesis 24:65	And she said to the servant, “Who is that man who advances to meet us through the field?” And he said to her, “That is my lord.” And so, quickly taking up her cloak, she covered herself.
Genesis 24:66	Then the servant explained to Isaac all that he had done.
Genesis 24:67	And he led her into the tent of Sarah his mother, and he accepted her as wife. And he loved her so very much, that it tempered the sorrow which befell him at his mother’s death.
Genesis 25:1	In truth, Abraham took another wife, named Keturah.
Genesis 25:2	And she bore to him Zimran, and Jokshan, and Medan, and Midian, and Ishbak, and Shuah.
Genesis 25:3	Likewise, Jokshan conceived Sheba and Dedan. The sons of Dedan were Asshurim, and Letushim, and Leummim.
Genesis 25:4	And truly, from Midian was born Ephah, and Epher, and Hanoch, and Abida, and Eldaah. All these were the sons of Keturah.
Genesis 25:5	And Abraham gave everything that he possessed to Isaac.
Genesis 25:6	But to the sons of the concubines he gave generous gifts, and he separated them from his son Isaac, while he still lived, toward the eastern region.
Genesis 25:7	Now the days of Abraham’s life were one hundred and seventy-five years.
Genesis 25:8	And declining, he died in a good old age, and at an advanced stage of life, and full of days. And he was gathered to his people.
Genesis 25:9	And his sons Isaac and Ishmael buried him in the double cave, which was situated in the field of Ephron, of the son of Zohar the Hittite, across from the region of Mamre,
Genesis 25:10	which he had bought from the sons of Heth. There he was buried, with his wife Sarah.
Genesis 25:11	And after his passing, God blessed his son Isaac, who lived near the well named ‘of the One who lives and who sees.’
Genesis 25:12	These are the generations of Ishmael, the son of Abraham, whom Hagar the Egyptian, Sarah’s servant, bore to him.
Genesis 25:13	And these are the names of his sons according to their language and generations. The firstborn of Ishmael was Nebaioth, then Kedar, and Adbeel, and Mibsam,
Genesis 25:14	likewise Mishma, and Dumah, and Massa,
Genesis 25:15	Hadad, and Tema, and Jetur, and Naphish, and Kedemah.
Genesis 25:16	These are the sons of Ishmael. And these are their names throughout their fortresses and towns: the twelve princes of their tribes.
Genesis 25:17	And the years of the life of Ishmael that passed were one hundred and thirty-seven. And declining, he died and was placed with his people.
Genesis 25:18	Now he had lived from Havilah as far as Shur, which overlooks Egypt as it approaches the Assyrians. He passed away in the sight of all his brothers.
Genesis 25:19	Likewise, these are the generations of Isaac, the son of Abraham. Abraham conceived Isaac,
Genesis 25:20	who, when he was forty years old, took Rebekah, the sister of Laban, the daughter of Bethuel the Syrian from Mesopotamia, as a wife.
Genesis 25:21	And Isaac beseeched the Lord on behalf of his wife, because she was barren. And he heard him, and he gave conception to Rebekah.
Genesis 25:22	But the little ones struggled in her womb. So she said, “If it was to be so with me, what need was there to conceive?” And she went to consult the Lord.
Genesis 25:23	And responding, he said, “Two nations are in your womb, and two peoples will be divided out of your womb, and one people will overcome the other people, and the elder will serve the younger.”
Genesis 25:24	Now the time had arrived to give birth, and behold, twins were discovered in her womb.
Genesis 25:25	He who departed first was red, and entirely hairy like a pelt; and his name was called Esau. At once the other departed and he held his brother’s foot in his hand; and because of this he was called Jacob.
Genesis 25:26	Isaac was sixty years old when the little ones were born to him.
Genesis 25:27	And as adults, Esau became a knowledgeable hunter and a man of agriculture, but Jacob, a simple man, dwelt in tents.
Genesis 25:28	Isaac was fond of Esau, because he was fed from his hunting; and Rebekah loved Jacob.
Genesis 25:29	Then Jacob boiled a small meal. Esau, when he had arrived weary from the field,
Genesis 25:30	said to him, “Give me this red stew, for I am very tired.” For this reason, his name was called Edom.
Genesis 25:31	Jacob said to him, “Sell me your right of the firstborn.”
Genesis 25:32	He answered, “Lo, I am dying, what will the right of the firstborn provide for me?”
Genesis 25:33	Jacob said, “So then, swear to me.” Esau swore to him, and he sold his right of the firstborn.
Genesis 25:34	And so, taking bread and the food of lentils, he ate, and he drank, and he went away, giving little weight to having sold the right of the firstborn.
Genesis 26:1	Then, when a famine arose over the land, after that barrenness which had happened in the days of Abraham, Isaac went to Abimelech, king of the Palestinians, in Gerar.
Genesis 26:2	And the Lord appeared to him, and he said: “Do not descend into Egypt, but rest in the land that I will tell you,
Genesis 26:3	and sojourn in it, and I will be with you, and I will bless you. For to you and to your offspring I will give all these regions, completing the oath that I promised to Abraham your father.
Genesis 26:4	And I will multiply your offspring like the stars of heaven. And I will give to your posterity all these regions. And in your offspring all the nations of the earth will be blessed,
Genesis 26:5	because Abraham obeyed my voice, and kept my precepts and commandments, and observed the ceremonies and the laws.”
